490	9.44E-02	
490.2	0.112	
490.4	0.129	
490.6	0.144	
490.8	0.156	
491	0.165	
491.2	0.17	
491.4	0.172	
491.6	0.169	
491.8	0.163	
492	0.155	
492.2	0.146	
492.4	0.136	
492.6	0.13	
492.8	0.126	
493	0.125	
493.2	0.124	
493.4	0.124	
493.6	0.123	
493.8	0.12	
494	0.116	
494.2	0.11	
494.4	0.102	
494.6	9.22E-02	
494.8	8.12E-02	
495	6.93E-02	
495.2	5.74E-02	
495.4	4.65E-02	
495.6	3.73E-02	
495.8	2.97E-02	
496	2.38E-02	
496.2	1.93E-02	
496.4	1.61E-02	
496.6	1.37E-02	
496.8	1.20E-02	
497	1.07E-02	
497.2	9.73E-03	
497.4	9.03E-03	
497.6	8.58E-03	
497.8	8.27E-03	
498	8.10E-03	
498.2	8.06E-03	
498.4	8.19E-03	
498.6	8.28E-03	
498.8	8.60E-03	
499	8.98E-03	
499.2	9.41E-03	
499.4	9.97E-03	
499.6	1.05E-02	
499.8	1.12E-02	
500	1.18E-02	
500.2	1.23E-02	
500.4	1.30E-02	
500.6	1.34E-02	
500.8	1.38E-02	
501	1.41E-02	
501.2	1.44E-02	
501.4	1.47E-02	
501.6	1.47E-02	
501.8	1.46E-02	
502	1.44E-02	
502.2	1.43E-02	
502.4	1.42E-02	
502.6	1.41E-02	
502.8	1.41E-02	
503	1.42E-02	
503.2	1.46E-02	
503.4	1.49E-02	
503.6	1.55E-02	
503.8	1.61E-02	
504	1.66E-02	
504.2	1.71E-02	
504.4	1.75E-02	
504.6	1.76E-02	
504.8	1.75E-02	
505	1.72E-02	
505.2	1.67E-02	
505.4	1.61E-02	
505.6	1.52E-02	
505.8	1.42E-02	
506	1.29E-02	
506.2	1.16E-02	
506.4	1.03E-02	
506.6	9.04E-03	
506.8	7.91E-03	
507	6.81E-03	
507.2	5.91E-03	
507.4	5.20E-03	
507.6	4.54E-03	
507.8	3.99E-03	
508	3.60E-03	
508.2	3.29E-03	
508.4	3.06E-03	
508.6	2.94E-03	
508.8	2.85E-03	
509	2.81E-03	
509.2	2.78E-03	
509.4	2.89E-03	
509.6	3.01E-03	
509.8	3.27E-03	
510	3.54E-03	
510.2	3.82E-03	
510.4	4.23E-03	
510.6	4.72E-03	
510.8	5.31E-03	
511	5.85E-03	
511.2	6.55E-03	
511.4	7.25E-03	
511.6	7.84E-03	
511.8	8.30E-03	
512	8.65E-03	
512.2	8.88E-03	
512.4	8.88E-03	
512.6	8.71E-03	
